Comment,Sentiment,Themes,Date,Score,Sentiment
"Atom Bank. Saw this bank advertised in the Mail on Saturday and thought they offered a much better rate of interest on savings accounts than all high street banks. After a little bit of concern (never heard of them...) i decided to give it a go and open a fixed saver for a year. I downloaded the app on my phone and started the registration process. I had a small issue in that I left the process half way at the beginning and couldn't complete it when I tried again. I phoned their help desk and a very helpful lady (Katy I think) reset their system which allowed me to register and I then sailed through the process really easily. I was a liitle concerned, once I transferred money in as it didn't show up immediately, but I used their chat line and spoke to Danielle, who reassured me that the money would show up soon. Sure enough it did and now I have a fixed saver at a decent interest rate.

I can't begin to say how refreshing it is to deal with people, who have got their customers interests at heart.. Highly recommended.",0.52,"'savings account : savings account' , 'atom : street banks' , 'customer service : call centre' , 'downloading : download the app' , 'ease of use : straightforward process' , 'opening accounts : open fixed saver' , 'savings account : fixed saver' , 'interest rates : good interest rates' , 'customer service : helpful staff' , 'interest rates : better interest rate' , 'customer activity : transfer money' , 'device : app on my phone' , 'interest rates : savings rate' , 'register : register'",13/03/2017,5,0.52
"Cant get the App. With one Macbook, one PC, and two smart phones we were unable to get the App to download and work.
So Atom bank has missed out on £5000. We will go elsewhere",-0.28,"'downloading : download the app' , 'app quality : no app' , 'device : smart phone'",15/03/2017,1,-0.28
"Small particle.....Big savings rate😁. Easy to open, simple to deposit funds.  Great interest rate...Keep up good work.",0.86,"'ease of use : easy to open' , 'interest rates : good interest rates'",15/03/2017,5,0.86
"The new face of UK Banking. Similar to other reviewers, I came across the exceptional rate through the internet and thought I'd check out this new bank.  I was quite surprised to see the full application process was via smartphone - yet it was so easy.  The icing on the cake was face recognition for ID and voice as a secondary check if required - no more ridiculous passwords to remember 
I've logged in a number of times and the face recognition has worked fine each time.  I've enjoyed playing with the app as well - creating your own logo playing with colour schemes - its really savvy with an excellent demo to get you going.  Well done Atom - really refreshing.  Like ""first direct"" back in the 80's - but not surprising with Mark Mullens and half the old ""fd"" team running Atom - well done all.",0.28,"'app design : aesthetics' , 'app design : application process' , 'interest rates : amazing rate' , 'authentication : face recognition' , 'register : identity' , 'authentication : voice recognition' , 'authentication : biometric not working'",21/03/2017,5,0.28
"Couldn't set up account. I wanted to invest £20k into a 1 year fixed account. Got as far as 60% but then an error message telling me there was a problem on identity verification 
Had an online chat for 15 minutes with a very helpful guy. Told him I have lived at my address for 3 and a half years, I have existing bank accounts and I have no credit issues. This chat ended with him telling me I could continue to try. What use is this?
I realise that you are trying to be a low cost operation Atom - but the app seems to have a problem. I would expect to be able to speak with someone to help identify the problem and talk me through what is going wrong. Especially when I am trying to invest a not insignifamt sum of money. Very disappointed!",-0.56,"'accounts : bank account' , 'customer activity : set up an account' , 'overall experience : disappointed' , 'savings account : year fixed' , 'customer service : helpful staff' , 'register : identity' , 'customer service : online chat'",23/03/2017,1,-0.56
"Learning Curve. Great New Bank protected by FSCS. I tried to download the app and register but it was difficult at first, more to do with me I think not understanding the instructions and beng a tad nervous at this new experience than the anything else. However the following day I succeeded in registering my account and received great support and service from the guys at Atom Bank. Thank you.
Now I have my account and my money invested wth Atom Bank and dealing with the app and my account is now second nature. I'm an older person so whilst I'm very IT savvy the app and process was a slight hurdle but I persevered and 'alls well that ends well'
I've just opened up several savings accounts and the criteria and process for opening an account at Atom is very strict. (as it should be) However it's less stessfull than opening up an account with other old fashioned banks that are ferns saving bonds, so that's refreshing.",0.01,"'opening accounts : open an account' , 'accounts : account online' , 'opening accounts : account opening process' , 'opening accounts : open savings account' , 'atom : great bank' , 'downloading : download the app' , 'customer service : good service' , 'customer activity : invest some money' , 'register : register'",25/03/2017,5,0.01
"Atom gave me incorrect information that cost me money. Atom only give you 7 days to deposit money into your Atom account, which concerned me as I needed to move money from other savings vehicles with other providers. ""Not a problem"" they told me, ""you can open as many accounts as you like and we always notify existing customers before we reduce the interest rates we offer on any new accounts"".

Great, that should have meant that if I missed the 7 day deadline of the first account I opened, I just needed to ensure I opened another one before any reduction in interest rates were applied to new accounts.  Because, remember, they said they would notify existing customers of this.  BUT THEY DIDN'T notify anyone.  I queried this.  Two other people at Atom then subsequently confirmed that yes, existing customers WERE notified of interest rates changes.  THEY WERE WRONG.  When I eventually got a full reply from Atom, they confirmed no, it was never their intention to notify customers of interest rate changes, they just changed them when they wanted to.

So, I've been shafted basically.  I had commenced cancellations of my existing savings accounts with other providers, but the interest rate on my intended destination for this money (I.e. Atom) then reduced without my knowledge.  Contrary to what I was advised by 3 different people at Atom customer services.  Appalling service.

Atom might say they are sorry, they'll improve etc but that doesn't help me at all.  Their incompetence has cost me money so ""sorry"" doesn't cut it.",-0.93,"'opening accounts : open an account' , 'savings account : savings account' , 'customer service : customer service' , 'savings account : deposit money' , 'interest rates : interest rates'",04/04/2017,1,-0.93
"Frustrating experience. I had the same problem as Steve...couldnt set up account as it said something wrong after i put in my address. Tried online chat which was no help then made a complaint online and got rude and unhelpful reply, again no help and blaming it on me not the app. . Like Steve i wanted to invest quite a bit of money.
Disappointed and offended.",-0.84,"'customer activity : set up an account' , 'overall experience : disappointed' , 'app quality : no app' , 'customer service : online chat'",04/04/2017,1,-0.84
"The app doesn't work on Android. The app doesn't work on Android.  All you get is a message saying, ""That shouldn't have happened.""  You can't even close the app.  It just freezes up.",-0.36,"'device : android' , 'app issues : app is not working'",14/04/2017,1,-0.36
"Good experience, but ultimately let down. This is a tricky one. I love what they're trying to do and I really appreciate that it's not easy. I also thought the customer service people that I spoke to were helpful, friendly and generally good people. 
But ultimately I wasn't able to set up an account, I think basically because they couldn't identify me. I have other bank accounts so I feel like this is on them. 
I'm just disappointed I wasn't able to buy into what they're doing",-0.17,"'accounts : bank account' , 'customer activity : set up an account' , 'overall experience : disappointed' , 'overall experience : good experience' , 'customer service : friendly' , 'customer service : helpful staff' , 'register : identity'",07/05/2017,3,-0.17
"If a Bank is online only, then everything should be available to view online.... My wife took out a fixed savings account with Atom. No issues at all with the set up except for the fact that the minimum initial transfer is too high. With online accounts that seek payments by BACs, it is nice to 'test' that the correct details have been entered by making an initial transfer of just a few £s.

This afternoon, my wife was completing her Tax Return. All the online savings accounts that she has with other banks gave immediate access to a Certificate of Interest: not so, Atom. No information online about how to get one so had to revert to chat which is, at best, a frustrating process. Initially, the response was that an interest certificate is no longer needed as all interest is paid gross. Wrong. Eventually, they agreed to provide quote an ad hoc certificate unquote. This really isn't good enough for a FCA approved bank.",-0.71,"'accounts : account online' , 'savings account : savings account' , 'use the app : banking apps' , 'savings account : fixed term savings' , 'interest rates : interest paid'",07/05/2017,2,-0.71
"This bank is useless. This bank is useless. They have my money, but I can't access my account. The app has shut me out, the biometric ID system doesn't work, I have not been able to get past the security, so I guess I will have to complain to the appropriate regulatory authority to access my account.Christ knows how long that will take.I wish I had never heard of these well meaning clowns. Caveat Emptor.",-0.13,"'customer activity : access my account' , 'authentication : biometrics' , 'register : identity'",18/05/2017,2,-0.13
"I applied for re-mortgage with Atom …. I applied for re-mortgage with Atom bank several weeks ago.
I submitted all the documents required by Atom bank several weeks ago.
I am still waiting for mortgage approval decision.
In my opinion  this is an unacceptable delay from a so called 'digital bank'.
It looks like Atom bank may not have enough staff to do the jobs.
I regret applying for Atom bank mortgage.
I am now planning to apply for re-mortgage some where else due the delay.
Suraj Joshy",-0.01,"'customer service : call centre' , 'customer service : staff' , 'mortgages : re-mortgage' , 'overall experience : waiting'",24/05/2017,1,-0.01
Seem Good So Far. I had a few issues getting the Iphone App to recognise my voice but it finally accepted it!  Now the app works just fine looking forward to moving onto my new cheaper mortgage.,0.11,"'device : iphone' , 'use the app : app sometimes works' , 'authentication : voice recognition'",25/05/2017,5,0.11
"stressful but got there in the end.. Update 
Mortgage has now been offered.
Rang the number advised in the reply. Spoke to a friendly chap named Joe who listend to my issue. Was suprised at the problem I had. Said he would look into the valuation report not appearing. He also informed me the broker had been emailed 2 weeks prior stating there was a problem. So the issue I had was not entirely Atom's fault.
He also agreed Atom should have followed a few things up. 
Just waiting for the Solicitors to get their backsides into gear to complete.

Atom have some tweaking to do to ensure this is a stress free process which most lenders can do.

I'll be interested to see how other people find them from now on.

---------

Amateurish organisation with no customer focus.
Applied for a remortgage 20th of April 2017. Sent all documents as
Requested. House was valued 4th of may.
Waited several weeks for an update and nothing. Enquired using the app as to how things where going and if I could get a copy of the valuation, was told it would appear in the app after a couple of days . Three weeks later it's still not there.
I have now been told 5 weeks after applying (and wasting my time) that Mortgage has hit a problem and it won't be completed.
This has pretty much derailed any plans we had for the summer.
So thank you Atom Bank for causing unecessary stress and worry.
 
If it looks too good to be true - it usually is.
Go elsewhere.",0,"'overall experience : amateur' , 'mortgages : mortgage brokers' , 'customer service : call centre' , 'customer service : friendly' , 'use the app : use the app' , 'overall experience : waiting' , 'updates : updates'",25/05/2017,3,0
"Mortgage application - waste of time and money. Mortgage application
 
Been through the process of a mortgage application with Atom.  Very slow all the way through.  Unable to talk to anyone at Atom directly with any queries - need to go via a broker ending up with information being lost on the way. 
 
Had to change solicitors part way through the process to be eligible for the mortgage.  Took weeks to book the survey with persistent chasing.
 
Finally got the mortgage offer.  Despite having been upfront about the fact that our chain involves a new build and offering the estimated completion date - the validity of the offer falls well short of this date.  Chased (via broker etc. again v. slow) to get this corrected as information on the Atom website indicates longer validity for chains with new builds. No extension possible.
 
So not only a painful process but a complete waste of time and money,
 
Avoid unless you have a very simple property chain and are prepared to wait.
 
Not the experience I was expecting from a company trying to reinvent this process.",-0.56,"'mortgages : mortgage application' , 'app design : application process' , 'mortgages : mortgage brokers' , 'ease of use : easy to use' , 'mortgages : mortgage offer' , 'atom : waste of time' , 'website : website'",26/05/2017,1,-0.56
"Same sentiments. Same sentiments, I've been unable to access my account since and spent the entire day today trying but just kept being logged out constantly!!",-0.44,'customer activity : access my account',29/05/2017,1,-0.44
"Useless, avoid at all costs!!. Submitted a remortgage application on 18th April, valuation booked for 24th April & uploaded to the vault on 04th May, no updates since then.

It's a very slow & painful process, completely the opposite of what you would expect from a digital bank.

I have always used High street lenders in the past for mortgages and the quality of service they provide is a lot superior to what Atom bank are offering.

I have been in contact with London & Country (Mortgage broker) a few times and have been told that Atom Bank are inundated with mortgage applications so it's going to be a long process, just a generic response rather than a specific updates on my mortgage application.

Atom Bank seem to have no regard for their customers and if they don't have time for us then surely we shouldn't give them our time, money or trust either!

AVOID at all costs!!",-0.32,"'mortgages : mortgage application' , 'mortgages : mortgage brokers' , 'updates : updates' , 'vault : vault'",02/06/2017,1,-0.32
Have two fixed saver accounts with this …. Have two fixed saver accounts with this bank. They refuse to allow me to close one early (I'm happy to incur a penalty). So basically wont allow me to access my own money. Extremely poor customer service and a clunky app. Avoid.,-0.97,"'savings account : saver account' , 'customer service : customer service' , 'savings account : fixed term savings' , 'savings account : fixed saver'",02/06/2017,1,-0.97
"Awful. So poor. Complete lack of customer service. They mucked up joining instructions by not asking for tax and national states. Tried to correct by sending threating letters. So if you said no they said ok and locked you out of your account. The only way to reach was your account fill in all the unnecessary details to correct the error made by this poor bank. Two year will not pass quickly.
Interesting reply. No apologies for THEIR mistake just flannel. As I said two years will take along time too pass. If only I could mark them zero stars!!",-0.48,'customer service : customer service',02/06/2017,1,-0.48
"We applied for one of Atoms market …. We applied for one of Atoms market leading mortgages a couple of months ago via L and C.  All seemed to be going smoothly until a fee weeks ago, when a small point requiring the Lenders attention arose.  Over 2 weeks on this is still not resolved and threatens to jeopardise the whole transaction.  As the person below says, they appear to be overwhelmed with applications but surely should have anticipated a high level of demand.   its impossible to get hold of anyone who can make a decision.  Being on hold for up to an hour not unusual. They also forced us to use solicitors who have provided an equally poor service- even though as a solicitor myself, I had access to a conveyancer via my firm.


Update:     thanks for your reply.  As I've spent huge amounts of time already on emails and phone calls, perhaps you'll understand that I'm reluctant to ring only to be kept on hold interminably and then cut off. if there is a genuine desire to sort this out id ask that someone emails me at matteodonc29 @gmail.com and we can take it from there.",-0.11,"'customer service : call centre' , 'register : identity' , 'customer service : poor service' , 'overall experience : waiting' , 'updates : updates'",14/06/2017,1,-0.11
"Avoid this shambolic lender!. My newly married wife and I applied for a mortgage with Atom Bank through our broker due to their excellent rates. Our broker noted it was the first time using them but the rate was worth it - we agreed and our application commenced.

All financial documentation was collated and submitted and things moved along well with a valuation of the property carried out. We then waited over a month for a valuation report to be reviewed by the Underwriters. This was reviewed and we moved onto the next stage and within 24 hours we got a text....""Pop the bubbly heres your mortgage offer!"". We were elated.

Whilst the valuation was being reviewed Atom had appointed Gorvins Solicitors to act on our behalf (Gorvins have been excellent) and we have been progressing the legals quickly and paid search fees. Everything was looking good.

Then 24 hours after receiving our offer my broker rang me to say Atom had pulled the offer. He had no idea why and the underwriter would only communicate via email. The Atom employee merely stated to check our credit file. My wife and I still have Excellent credit scores - so this cannot be the reason.  

The following day my broker was on hold for 90 minutes to get through to someone at Atom and discuss the case. This was to no avail and now they will not even respond to his emails. Our broker is a trusted family friend who has been in the business for over 30 years and has never seen behavior like this. It is cowardly and unacceptable.

Despite all this, the App platform which Atom so proudly advertise still shows we have a mortgage offer and the next step is completion.

As a result of all this we have had to start a new mortgage application and Bank of Ireland UK are keen to work with us. 

Nonetheless, there is a good chance we will lose our first ever house buy together due to the appalling conduct of Atom Bank. My wife and I along with our broker will be issuing formal complaints to the relevant parties and will be seeking remittance for the valuation and legal fees paid to date. For a Bank seeking to enter the market to have such dire service, hide behind emails and not even give us a valid reason as to why they won't lend is beyond a joke. 

We have a 25% deposit and we are borrowing just 2 times over our annual salaries. We are good candidates and would be good business for new Bank.

All I can say is do not waste your time with this Bank.",0.32,"'mortgages : mortgage application' , 'mortgages : mortgage brokers' , 'customer service : call centre' , 'atom : excellent company' , 'mortgages : employment' , 'interest rates : good interest rates' , 'mortgages : mortgage offer' , 'overall experience : waiting'",15/06/2017,1,0.32
"Frustrating process - ultimately fruitless. Registering was painful.  The app did not like my voice.  After countless attempts, including getting timed out,  I finally got past this and could attempt to open a fixed rate savings account.  But after completing the screen with my personal details there was no way to move on.  Despite a phone call to the helpdesk saying to close the app and try again the return visit got stuck at the exact same point.  About 40 minutes wasted all in all.",-0.61,"'savings account : savings account' , 'customer service : call centre' , 'opening accounts : open fixed saver' , 'savings account : fixed term savings' , 'interest rates : savings rate' , 'authentication : voice recognition' , 'use the app : time out'",16/06/2017,2,-0.61
"I was attracted by a market-leading …. I was attracted by a market-leading savings rate.
However, I was put off by the fact of access only through a smartphone/tablet app - would have much preferred a reguar internet browser.  The app was very sluggish to respond.  Whne I got to attempting to open the account, I got a hard-to-interpret message (despite the cute mugshot of the bank officers concerned) that my application had run into a problem.  Eventually I called their phoneline, was told this meant that they didn't have the credit info they needed and would get back after they had made further checks - in 1
'2-3 days'.  Over 1 week later I am still waiting.  If they do ever get back, I woon't trust their service enough to proceed with the account.",-0.47,"'opening accounts : open an account' , 'customer service : call centre' , 'device : ipad' , 'interest rates : savings rate' , 'overall experience : waiting'",23/06/2017,2,-0.47
"Atom Bank Fixed Savings account. It seems Atom Bank have had quite a few poor reviews and I can only go on my experience today setting up a fixed savings account. The APP was easy to install on my Android Phone. Even though some of the boxes entering your personal details seemed a bit clunky and slow everything was set up in no time really. The poor reviews about the savings accounts regarding people not being able to access their money is ridiculous when people are opening a fixed account for a set period of time and it clearly states no withdrawals before the maturity date!
After set up it took less than an hour for my money to reach the account and terms and conditions attachments were sent to my portal and vault on the APP.
I can't comment on mortgages provided Atom and what seems mixed reports here but my early experience of this Bank so far has been good and the APP works fine on my phone.
May it continue!",0.19,"'savings account : savings account' , 'customer activity : set up an account' , 'device : android' , 'atom : great bank' , 'register : terms and conditions' , 'savings account : maturity date' , 'device : mobile phone' , 'app quality : app easy' , 'opening accounts : open fixed saver' , 'savings account : fixed term savings' , 'app quality : great app' , 'use the app : app sometimes works' , 'vault : vault'",23/06/2017,4,0.19
"As a fixed term saver.. As a fixed term saver I found the process, different in only using it via a APP. A windows 10 version should be made available.

 It was easy to install but had to get a OS comparable device. A tablet and older phone were not compatible. 

My wife was interested in setting up a savings account but her phone is not compatible and I can't have two separate accounts on one phone.",-0.11,"'savings account : savings account' , 'savings account : fixed term savings' , 'device : ipad' , 'use the app : use the app'",23/06/2017,5,-0.11
"A bit of clarity...... Struggling to understand all the negative reviews, however these seem to relate more to the mortgage arm of Atom.
I have taken out a fixed term 5yr loan and would note:
-I read and agreed to the clearly stated terms, especially those relating to my funds being completely locked in with Atom for the full investment term. Thus the negative feedback from disgruntled customers unhappy about not being able to withdraw funds early as far as I'm concerned is completely unwarranted. If you don't agree the terms then don't accept/invest.... Doh!
- I installed the app on my Samsung S6, and registering for my investment was a doddle, and completely bug free
- I can't yet run the app on my Samsung tab but hey! Atom pre-warn of this noting they are further developing the app for other platforms, so I'll wait for this in due course. Effects of this on my investment? Zero!
- Transfer of funds from my bank into my Atom account was seamless and quick. 
What's not to like?!
Happy.",0.22,"'savings account : fixed term savings' , 'accounts : transfer funds'",25/06/2017,5,0.22
"Avoid at all costs. Avoid at all costs, I'm not a customer of Atom Bank thank god but I'm moving home and I'm in a chain with some idiot who obviously didn't do their research who is using them. It's now been 5 months and everyone in the chain is waiting on this cowboy outfit to release the mortgage, we've been told by the solicitors they're the worst Bank to deal with and they're always having trouble with them. Be Warned",-0.75,'overall experience : waiting',28/06/2017,1,-0.75
"5 Stars for savings rate and easy to use app. I can only talk from the savings perspective, but I have to rate Atom bank 5 star for their excellent savings rate, and their superb Android app.  With facial recognition making logging in so easy, and the account setup being 100% automated, how can a bank offer a better service.  Well done Atom Bank for breaking the mould on an easy to use and (in today's low interest marketplace) a rewarding savings package.",0.58,"'device : android' , 'use the app : mobile apps' , 'atom : great bank' , 'app quality : app easy' , 'ease of use : easy to use' , 'authentication : face recognition' , 'interest rates : good interest rates' , 'interest rates : savings rate'",03/07/2017,5,0.58
"3 months and still waiting for a mortgage offer. i applied for my remortgage 7th April 2017 
Valuation survey booked 2 days later ( thought this is going well) 
Survey done a week later and got valuation report within 2 weeks . so far so good until this point,  after this it all went down hill. 
week 3 Broker asked for documents sent it the same day first class . 
week 4 Broker asked for documents sent it the same day first class .
week 5 Broker asked for documents sent it the same day first class .

week 7   they asked for the same  documents that i sent in week 3,4,5  because they are now out of date because of the time its taken them to  process these docs. plus documents they didnt think of asking for the first time round. 

i have had to send numerous amount of docs because they couldn't decide what they needed in the first place. 

the application is still on going after 3 months . longest remortageg process ever . i would avoid this bank at all cost. 

excuses ; due to the sheer volume of applicants its taking a long time to process the application . 

my simple solution : hire more staff to deal with it. 

atom you have failed many customers and this is only handful of people reviewing your bank. i can imagine there are 1000's of disappointed customers out there

i called them today (3 July 2017) only to be told they cant discuss mortgages as they are from the saving department and cant see what is written on my notes. Great customer service all round.

update: 3 July 2017 :  they requested my wife pre maternity pay slips 3 weeks ago and we told them that we have misplaced it and provided bank statements as a alternative. the broker told us that would be all the documents they would request and we should have a mortgage offer once they have reviewed all the documents.  they  have now come back to us  asking for pre maternity pay slips again . it wasn't available before its not going to be available now. 

conclusion ; they need to hire more staff and most importantly they need to hire staff that can do the job properly and not incompetent idiots .",-0.28,"'app design : application process' , 'mortgages : mortgage brokers' , 'customer service : call centre' , 'customer service : great customer service' , 'overall experience : disappointed' , 'mortgages : maternity leave' , 'mortgages : mortgage offer' , 'customer service : staff' , 'overall experience : waiting' , 'updates : updates'",03/07/2017,1,-0.28
"its seems you copy and paste your response. its seems like all your response consist of the same answers ,  do you copy and paste your responses. 

instead of saying thank you for the feedback you should answer and resolve the issue .",-0.52,'other',04/07/2017,1,-0.52
"After after 3 months our remortgage offer was declined because my wife is on maternity. After 3 months our mortgage offer was declined because my wife is on maternity; which begs the question what was the point of weekly documents sent to them? If you/you're partner are currently on maternity leave don't even consider using Atom; as they don't seem to understand that people do actually return to work! There many things in life that we can be discriminated against but I didn't think maternity would be one of them. Atom lack the understanding to calculate a pro rata'd salary and seem to be happy to keep asking the same questions over again. There doesn't seem any logical progression in their thought processes and even when documents are sent across it appears they just look at a selected few; gaining only half the picture. Atom have to be the most frustrating financial company I have ever dealt with. They offer the lowest mortgage rate; and almost seem surprised (and don't have the work force) to deal with the increased customers. Maybe before entering into the market a little more basic mortgage training would be a good idea to ensure that customers needs can be met. To me, as a relatively new company, this doesn't seem a good way of improve your market status. Even from this site it is evident that customer satisfaction is poor. 

I will be appealing my application only because i cant be bothered to go through the whole process again with another lender. if you are starting a new application then i would avoid this company . complete shambles. 

I only seem get responses from atom by writing reviews on this site. when i ring them, they tell me they cant discuss any mortgage related issues and to contact my broker  and when i contact my broker (LandC) they tell they are waiting to hear back from them (Atom) . 

atom here is my L&C case reference: M2438026 , feel free to get my contact details off them and discuss the issue with me. 

Looking forward to your response on here and a phone call. 

i will be posting on this site to report on the outcome of the call (if it ever happens)",-0.26,"'mortgages : mortgage brokers' , 'customer service : call centre' , 'ease of use : sounds great' , 'mortgages : maternity leave' , 'mortgages : mortgage offer' , 'interest rates : mortgage rates' , 'overall experience : waiting' , 'website : website'",05/07/2017,1,-0.26
"I have opened a savings account with no …problems. I have opened a savings account with no problems at all,voice recognition worked,facial recognition no problem ,having read all the reviews it looks as though it's the mortgage side of this bank that is receiving low ratings and Atom needs to focus on improving its customer service after all no. Customers no Bank!",-0.04,"'opening accounts : open savings account' , 'customer service : customer service' , 'authentication : face recognition' , 'authentication : voice recognition' , 'authentication : biometric not working'",09/07/2017,4,-0.04
