Comment,Sentiment,Themes,Date,Store,LEGACY - App Version,Score,Response contains,LEGACY - Device,LEGACY - Andriod OS Version,LEGACY - Topics,LEGACY - Custom Topics,Sentiment
"Absolutely fantastic ! downloaded the app, opened the bank account and 
transferred money into it within 15 minutes flat. Slight trouble with the 
face recognition but the voice recognition was practically instant.",0.04,"'account admin : bank account' , 'banking services : transferring money' , 'authentication : biometrics' , 'authentication : face recognition' , 'install : downloaded the app' , 'authentication : voice recognition' , 'access the app : open the app'",13/06/2018,Google Play,2.2.3,5,"Absolutely fantastic ! downloaded the app, opened the bank account and 
transferred money into it within 15 minutes flat. Slight trouble with the 
face recognition but the voice recognition was practically instant.",,2,,,0.04
very easy and helpful,0.9,"'app functionality : easy to use' , 'customer support : help'",22/02/2019,Google Play,2.6,5,very easy and helpful,,0,,,0.9
"Very dissappointing. Has little of value to offer savers. Better deals can be found elsewhere, with more flexible terms and support for multiple access channels. Also, does not offer ISA accounts which allow savers to legally avoid paying tax on their interest, which can significantly improve the rate of return.",-0.28,'other',28/07/2019,Google Play,2.6.3,1,"Very dissappointing. Has little of value to offer savers. Better deals can be found elsewhere, with more flexible terms and support for multiple access channels. Also, does not offer ISA accounts which allow savers to legally avoid paying tax on their interest, which can significantly improve the rate of return.",,25,,,-0.28
"I got tired of blinking to activate the app, close my account. I'm out.",-0.2,'authentication : blink to register',01/03/2017,Google Play,1.5.2,1,"I got tired of blinking to activate the app, close my account. I'm out.",,0,,,-0.2
very easy to use and check your account details,0.6,'app functionality : easy to use',28/03/2019,Google Play,2.6.1,5,very easy to use and check your account details,,1,,,0.6
very easy to use,0.72,'app functionality : easy to use',22/03/2019,Google Play,2.6.1,5,very easy to use,,1,,,0.72
Was easy to set up and apply for savings account ! Samsung S6 so not newest of phones but no problems at all.,0.3,"'account admin : saver account' , 'app functionality : app set up' , 'app functionality : easy to set up'",04/06/2019,Google Play,2.6.1,5,Was easy to set up and apply for savings account ! Samsung S6 so not newest of phones but no problems at all.,,0,,,0.3
Absolutely awful app. The chat support barely works and takes ages for your message to send. Logging in is long and anything you do results in a loading screen. Invest elsewhere as this is painful,-0.75,"'customer support : chat facility' , 'authentication : logging in' , 'app quality : terrible app'",15/11/2017,Google Play,1.9,1,Absolutely awful app. The chat support barely works and takes ages for your message to send. Logging in is long and anything you do results in a loading screen. Invest elsewhere as this is painful,,1,,,-0.75
only works on one of my android devices not good enough for financial service,-0.53,'other',12/06/2017,Google Play,1.7.2,1,only works on one of my android devices not good enough for financial service,,2,,,-0.53
This app is awful. We were supposed to comolete today but there was some delay. It turns out that neither me or my partner had accepted t&cs on the app. We had to ring them to ask them how as the app doesn't prompt you in any way and nothing on the app indicated that we hadn't done this.,-0.55,"'customer support : called helpline' , 'works well : quick' , 'app quality : terrible app'",25/10/2017,Google Play,1.8.1,2,This app is awful. We were supposed to comolete today but there was some delay. It turns out that neither me or my partner had accepted t&cs on the app. We had to ring them to ask them how as the app doesn't prompt you in any way and nothing on the app indicated that we hadn't done this.,,0,,,-0.55
"The functionality of the app is absolutely fine, and I hope they will start to offer different products. It's a little frustrating that I can't manage my mortgage fully(ie overpayments) without having to call them, which defeats the purpose of an app only bank. The app is also unnecessarily slow, favouring style over substance",-0.36,"'banking services : banking apps' , 'app functionality : functionality of the app' , 'app functionality : slow' , 'app design : style over substance'",17/02/2018,Google Play,1.9,3,"The functionality of the app is absolutely fine, and I hope they will start to offer different products. It's a little frustrating that I can't manage my mortgage fully(ie overpayments) without having to call them, which defeats the purpose of an app only bank. The app is also unnecessarily slow, favouring style over substance",,0,,,-0.36
"Sluggish, none native UI with bugs. cant even scroll the terms and conditions properly because of a custom thing. Why you no native?  Edit: I'm using a P20 Pro.",-0.4,'app functionality : ui',12/01/2019,Google Play,2.4.1,1,"Sluggish, none native UI with bugs. cant even scroll the terms and conditions properly because of a custom thing. Why you no native?  Edit: I'm using a P20 Pro.",,1,,,-0.4
"Guys. Tried it 4 times,  rejected by Jon from security :(",-0.3,'other',13/09/2016,Google Play,1.2.2,2,"Guys. Tried it 4 times,  rejected by Jon from security :(",,0,,,-0.3
Good,0,'nothing',12/11/2019,Google Play,2.6.3,5,Good,,0,,,0
All I wanted to do was open an account.  The code sent was rejected. It was impossible to navigate the app as there is no menu. I wanted to use the in app chat but could not find it.  Even getting a number to call was a challenge.  Please test these apps for use ability before releasing pretty production software.,-0.34,"'account admin : opening an account' , 'customer support : chat facility'",15/09/2016,Google Play,1.2.2,1,All I wanted to do was open an account.  The code sent was rejected. It was impossible to navigate the app as there is no menu. I wanted to use the in app chat but could not find it.  Even getting a number to call was a challenge.  Please test these apps for use ability before releasing pretty production software.,,2,,,-0.34
"I love the app ,it's the best",0.75,'app quality',28/09/2016,Google Play,1.2.3,5,"I love the app ,it's the best",,0,,,0.75
Easy to setup an account,0.59,'app functionality',23/06/2017,Google Play,1.7.2,5,Easy to setup an account,,0,,,0.59
A funky way of banking and access and support at any time.,0.54,'other',03/07/2017,Google Play,1.7.2,4,A funky way of banking and access and support at any time.,,0,,,0.54
"What a screw-up.  Opened an account, deposited a 6-figure sum and now the app won't let me in.  Spent hours on the phone with the CS people - tried deleting and re-installing the app countless times, clearing the cache, rebooting the phone, blocking backup and restore.  Can't even open a new account & transfer the funds (which is all they could suggest). A word of advice to Atom - if you have an app-access only product - MAKE SURE IT WORKS!!",-0.41,"'access the app : access the app' , 'account admin : opening an account' , 'install : installing the app' , 'banking services : transfer money' , 'app issues : problems accessing account'",02/01/2018,Google Play,1.9,1,"What a screw-up.  Opened an account, deposited a 6-figure sum and now the app won't let me in.  Spent hours on the phone with the CS people - tried deleting and re-installing the app countless times, clearing the cache, rebooting the phone, blocking backup and restore.  Can't even open a new account & transfer the funds (which is all they could suggest). A word of advice to Atom - if you have an app-access only product - MAKE SURE IT WORKS!!",,1,,,-0.41
Easy to use site,0.6,'app functionality : easy to use',13/03/2017,Google Play,1.5.2,5,Easy to use site,,0,,,0.6
Easy to set up and use with the novelty of face recognition and voice recognition for security.  Good help line if you need it and interest rates as good as you can get.,0.53,"'app functionality : app set up' , 'authentication : biometrics' , 'authentication : face recognition' , 'app functionality : easy to set up' , 'authentication : voice recognition' , 'customer support : help' , 'interest rates : interest rates'",17/02/2017,Google Play,1.4,5,Easy to set up and use with the novelty of face recognition and voice recognition for security.  Good help line if you need it and interest rates as good as you can get.,,1,,,0.53
"Opened an account with £100 with intention that I would make a large 
deposit within a few days from my house sale but this fell through so I 
tried to cancel account and get my £100 back but Atom refused without me 
proving the circumstances as they weren't prepared to take my word for it. 
Also I spent a long time on live chat trying to resolve the issue but as it 
takes so long for advisor to respond, I kept getting logged out so I had to 
log back in again and start the ball rolling again which was very 
frustrating and not easy to deal with and all just for £100",-0.2,"'account admin : opening an account' , 'customer support : chat facility'",26/07/2018,Google Play,2.2.4,1,"Opened an account with £100 with intention that I would make a large 
deposit within a few days from my house sale but this fell through so I 
tried to cancel account and get my £100 back but Atom refused without me 
proving the circumstances as they weren't prepared to take my word for it. 
Also I spent a long time on live chat trying to resolve the issue but as it 
takes so long for advisor to respond, I kept getting logged out so I had to 
log back in again and start the ball rolling again which was very 
frustrating and not easy to deal with and all just for £100",,0,,,-0.2
"I like the app, I also like the new rates. I can use it on my lenovo tablet but not compatible yet with my huewai phone.. its nice to be able to choose the log in method each time.",0.27,'authentication : logging in',28/11/2017,Google Play,1.9,4,"I like the app, I also like the new rates. I can use it on my lenovo tablet but not compatible yet with my huewai phone.. its nice to be able to choose the log in method each time.",,0,,,0.27
"Impossible to use on Moto G 1st gen with Lollipop. Installs OK, but keeps crashing at end of input screens. Registration screen couldn't handle email address with period after the @. Tried using a different email address and managed to register, but gave up trying to apply for fixed rate account as app kept crashing during identity verification screens.",-0.54,'interest rates : fixed rate',01/03/2017,Google Play,1.5.2,1,"Impossible to use on Moto G 1st gen with Lollipop. Installs OK, but keeps crashing at end of input screens. Registration screen couldn't handle email address with period after the @. Tried using a different email address and managed to register, but gave up trying to apply for fixed rate account as app kept crashing during identity verification screens.",,2,,,-0.54
UI is seamless and fluid and looks nice.  And great customer service too. Just need my code now,0.39,"'app functionality : ui' , 'customer support : customer service'",09/09/2016,Google Play,1.2,5,UI is seamless and fluid and looks nice.  And great customer service too. Just need my code now,,2,,,0.39
I hate this app and if wasn't offering by far the best isa rates I wouldn't go anywhere near it.My wife refuses to use it. Really it's designed for kids. Fortunately you can disable the 'biometrcs' once you are registered but you still have to undergo the undignified process of face and voice recognition when registering.,-0.1,"'authentication : biometrics' , 'authentication : voice recognition'",13/01/2019,Google Play,2.4.1,1,I hate this app and if wasn't offering by far the best isa rates I wouldn't go anywhere near it.My wife refuses to use it. Really it's designed for kids. Fortunately you can disable the 'biometrcs' once you are registered but you still have to undergo the undignified process of face and voice recognition when registering.,,1,,,-0.1
"How do you even login to an existing account from a new phone. This is what happens when an older generation of bankers try to be edgy and build a ""cool"" bank. So arse backwards. Just stick to navigation for humans, not for aliens.",-0.37,'authentication : logging in',29/11/2016,Google Play,1.3.1,1,"How do you even login to an existing account from a new phone. This is what happens when an older generation of bankers try to be edgy and build a ""cool"" bank. So arse backwards. Just stick to navigation for humans, not for aliens.",,2,,,-0.37
"Dont see what all the poor reviews are about, i have an LG G4 and have never experienced any difficulties using the app. In the past it has been a touch too slow but this has been resolved more recently. I only use the fixed rate savings products but never had any jssues using this and have rexommended to friends.",-0.06,"'interest rates : fixed rate' , 'access the app : using this app' , 'interest rates : savings rates' , 'app functionality : slow'",08/02/2018,Google Play,1.9,5,"Dont see what all the poor reviews are about, i have an LG G4 and have never experienced any difficulties using the app. In the past it has been a touch too slow but this has been resolved more recently. I only use the fixed rate savings products but never had any jssues using this and have rexommended to friends.",,0,,,-0.06
After a few teething troubles with opening an account everything else has now been playing sailing. I would definitely recommend Atom bank competitive rates UK call centre is a bonus the staff were very very helpful This is an app based bank it does not get easier than this,-0.22,"'account admin : opening an account' , 'customer support : atom staff' , 'banking services : app based bank' , 'banking services : internet bank' , 'customer support : help'",06/11/2018,Google Play,2.4.1,5,After a few teething troubles with opening an account everything else has now been playing sailing. I would definitely recommend Atom bank competitive rates UK call centre is a bonus the staff were very very helpful This is an app based bank it does not get easier than this,,7,,,-0.22
"Had to reset app and it wouldn't pass security check on my face, nightmare trying to sort and get access to my account",-0.6,'app issues : problems accessing account',24/06/2017,Google Play,1.7.2,2,"Had to reset app and it wouldn't pass security check on my face, nightmare trying to sort and get access to my account",,2,,,-0.6
"App updated and now won't recognise my face, despite being the same one I've always had. I'm now worried that I'm not able to access my money.",-0.68,'updates and versions : updated app',29/11/2017,Google Play,1.9,2,"App updated and now won't recognise my face, despite being the same one I've always had. I'm now worried that I'm not able to access my money.",,1,,,-0.68
"I'm surprised this has passed quality control, no clipboard access to paste the code and if you switch apps the keyboard doesn't work. I won't be moving accounts if this is your attitude towards attention to detail.",-0.55,'other',21/09/2016,Google Play,1.2.3,1,"I'm surprised this has passed quality control, no clipboard access to paste the code and if you switch apps the keyboard doesn't work. I won't be moving accounts if this is your attitude towards attention to detail.",,0,,,-0.55
"Good service let down by the app. Needs better face recognition as it barely works. Also, definitely should have finger print, bad that it doesn't.",-0.12,"'authentication : face recognition' , 'works well : services was great' , 'authentication : touch id'",06/01/2019,Google Play,2.4.1,3,"Good service let down by the app. Needs better face recognition as it barely works. Also, definitely should have finger print, bad that it doesn't.",,1,,,-0.12
"Really wanted to give this bank a try and have been waiting. Received my code but when I got through to setting up voice recognition, a note from Jon from Compliance popped up after each attempt to tell me that I was reading the wrong sentence. Haven't been able to sign up.",-0.27,"'app functionality : app set up' , 'authentication : voice recognition'",19/09/2016,Google Play,1.2.2,1,"Really wanted to give this bank a try and have been waiting. Received my code but when I got through to setting up voice recognition, a note from Jon from Compliance popped up after each attempt to tell me that I was reading the wrong sentence. Haven't been able to sign up.",,0,,,-0.27
"Very slow, keeps freezing up, not intuitive",-0.95,'app functionality : slow',14/10/2019,Google Play,2.6.3,1,"Very slow, keeps freezing up, not intuitive",,0,,,-0.95
"Very shiny, and definitely for a mileniel crowd. Otherwise very inovative, and a very quick response from the Dev team which is always a bonus.",0.39,'works well : quick',08/09/2019,Google Play,2.6.3,4,"Very shiny, and definitely for a mileniel crowd. Otherwise very inovative, and a very quick response from the Dev team which is always a bonus.",,1,,,0.39
"It is so easy to log in, especially face recognition :)",0.59,"'authentication : face recognition' , 'app functionality : easy to log in' , 'authentication : logging in'",18/01/2018,Google Play,1.9,5,"It is so easy to log in, especially face recognition :)",,0,,,0.59
"Easy to set up account, confident in the security, all good so far!",0.86,"'account admin : opening an account' , 'app functionality : app set up' , 'app functionality : easy to set up'",29/06/2019,Google Play,2.6.2,5,"Easy to set up account, confident in the security, all good so far!",,1,,,0.86
"The user interface is hot garbage. Signing up took about 5 attempts, with a useless error message they should have said ""you already have an account"". Highly customised form fields that hide useful text and heavily favour form over function. Instead of simple menus they have cute circles floating around, which you click on and animations happen to show you useful info. Absolute disaster in usability terms. this is a real shame because the banking product seems excellent.",-0.23,'app functionality : ui',11/05/2019,Google Play,2.6.1,1,"The user interface is hot garbage. Signing up took about 5 attempts, with a useless error message they should have said ""you already have an account"". Highly customised form fields that hide useful text and heavily favour form over function. Instead of simple menus they have cute circles floating around, which you click on and animations happen to show you useful info. Absolute disaster in usability terms. this is a real shame because the banking product seems excellent.",,5,,,-0.23
"This App is ""blinking"" useless. It is only secure because no-one can log 
in, including the account holder!!!. Face recognition simply does not work",-0.33,"'authentication : face recognition' , 'authentication : blink to register' , 'authentication : logging in' , 'app functionality : secure'",01/08/2018,Google Play,2.2.4,1,"This App is ""blinking"" useless. It is only secure because no-one can log 
in, including the account holder!!!. Face recognition simply does not work",,1,,,-0.33
"The app will not let me open an account. After completing the address 
details it says something doesn't look right try again. Then after trying 
again it errors unable to continue with application. I've lived at the same 
property for 30 years so shouldn't be an issue with the address data. If 
you can't verify your customer electronically you need a fallback process. 
My mobile phone provider verified me electronically from my driving licence 
number.",-0.36,"'account admin : opening an account' , 'app issues : problems accessing account' , 'app issues : can't open app'",13/07/2018,Google Play,2.2.4,1,"The app will not let me open an account. After completing the address 
details it says something doesn't look right try again. Then after trying 
again it errors unable to continue with application. I've lived at the same 
property for 30 years so shouldn't be an issue with the address data. If 
you can't verify your customer electronically you need a fallback process. 
My mobile phone provider verified me electronically from my driving licence 
number.",,1,,,-0.36
"Very slow and jerky animations are irritating. Colour schemes need looking into as some of the menus with black background and dark icons or buttons are quite hard to see. Only one ""Fixed Saver"" account available at the moment but there is more to come, no details on when though unfortunately. - Update - Still to slow. Delays between clicking a button and the slow animations starting. Animations to slow and really unnecessary.",-0.4,"'account admin : saver account' , 'app quality : annoying' , 'app functionality : slow' , 'updates and versions : latest version'",23/12/2018,Google Play,1.2.4,2,"Very slow and jerky animations are irritating. Colour schemes need looking into as some of the menus with black background and dark icons or buttons are quite hard to see. Only one ""Fixed Saver"" account available at the moment but there is more to come, no details on when though unfortunately. - Update - Still to slow. Delays between clicking a button and the slow animations starting. Animations to slow and really unnecessary.",,5,,,-0.4
"They're trying to be so clever.  You can only login with a facial scan and voice recognition.  Genius.  But sadly a few hours after registering it doesn't believe that my face is my own.  Given there's a couple of hours between access attempts I conclude it doesn't work, the technology isn't there, it is probably merrily handing out my cash to so,e one who looks more like me than I do.  After this experience I'd not trust them with a pound never mind a few grand of my hard earned cash, I don't doubt I face an uphill struggle to recover my money.",-0.09,"'authentication : voice recognition' , 'authentication : logging in'",24/02/2017,Google Play,1.5,1,"They're trying to be so clever.  You can only login with a facial scan and voice recognition.  Genius.  But sadly a few hours after registering it doesn't believe that my face is my own.  Given there's a couple of hours between access attempts I conclude it doesn't work, the technology isn't there, it is probably merrily handing out my cash to so,e one who looks more like me than I do.  After this experience I'd not trust them with a pound never mind a few grand of my hard earned cash, I don't doubt I face an uphill struggle to recover my money.",,6,,,-0.09
"Crashes every time I try to create an ID. Update: tried again following day, worked much better but still quite slow.",-0.46,"'app functionality : slow' , 'updates and versions : latest version'",12/09/2016,Google Play,1.2.2,1,"Crashes every time I try to create an ID. Update: tried again following day, worked much better but still quite slow.",,1,,,-0.46
"App was fine until I updated it, now when I tap on my account the app just freezes.",-0.5,'other',12/07/2019,Google Play,2.6.3,1,"App was fine until I updated it, now when I tap on my account the app just freezes.",,0,,,-0.5
"Opened the App for the first time in months today to be notified that there was a new version of the App ready for download. The App then froze instead of downloading the update. What a pain, I just wanted to quickly access my account, now I have to waste time trying to get the App working again so I can access my money. This is why I rarely use the App as I dread what new problems I am going to face each time.    And it get's better. I forgot my passcode and don't want to try and guess it in case I get locked out of my account. So I login using face recognition and try to find the option to reset my passcode. Can't find it so contact support. The reason why I can't find the option is because it does not exist. I can only reset ALL my biometric data. To do this, support have to reset the backend, I have to wait 30 mins and then uninstall the app, reinstall and go through the whole setup again!!!!  This is crazy and worse than my high street bank. What a waste of a Friday evening. Now I know why it's called disruptive technology.",-0.29,"'authentication : face recognition' , 'customer support : called helpline' , 'works well : quick' , 'authentication : logging in' , 'app issues : problems accessing account' , 'access the app : open the app' , 'updates and versions : latest version'",24/02/2017,Google Play,1.5,1,"Opened the App for the first time in months today to be notified that there was a new version of the App ready for download. The App then froze instead of downloading the update. What a pain, I just wanted to quickly access my account, now I have to waste time trying to get the App working again so I can access my money. This is why I rarely use the App as I dread what new problems I am going to face each time.    And it get's better. I forgot my passcode and don't want to try and guess it in case I get locked out of my account. So I login using face recognition and try to find the option to reset my passcode. Can't find it so contact support. The reason why I can't find the option is because it does not exist. I can only reset ALL my biometric data. To do this, support have to reset the backend, I have to wait 30 mins and then uninstall the app, reinstall and go through the whole setup again!!!!  This is crazy and worse than my high street bank. What a waste of a Friday evening. Now I know why it's called disruptive technology.",,0,,,-0.29
"Dumb app couldn't open me an acc, can't verify my address, tho I have current account registered on that address, support wasn't really helpful either, sent me to do background credit check, while I'm applying for savings account, will be opening one in a real bank",-0.46,"'account admin : current account' , 'account admin : saver account' , 'customer support : help'",25/08/2019,Google Play,,2,"Dumb app couldn't open me an acc, can't verify my address, tho I have current account registered on that address, support wasn't really helpful either, sent me to do background credit check, while I'm applying for savings account, will be opening one in a real bank",,0,,,-0.46
"I like the layout of this app and it's a great idea, but why can't you open a simple savings account, I don't have a lump sum in which to lock away, I am currently on benefits but I still want to try and save money.",0,"'account admin : saver account' , 'app functionality : ui'",13/03/2017,Google Play,1.5.2,4,"I like the layout of this app and it's a great idea, but why can't you open a simple savings account, I don't have a lump sum in which to lock away, I am currently on benefits but I still want to try and save money.",,0,,,0
easy to use and great rates,0.87,"'app functionality : easy to use' , 'banking services : good rate'",20/12/2018,Google Play,2.4.1,5,easy to use and great rates,,0,,,0.87
Simple to log in yet secure.,0.02,"'authentication : logging in' , 'app functionality : secure'",02/12/2016,Google Play,1.3.2,5,Simple to log in yet secure.,,1,,,0.02
Great to have the app on Android!,0.58,'other',09/09/2016,Google Play,1.2,5,Great to have the app on Android!,,1,,,0.58
"I don't understand why but it seems like UX and performance went out of the window with this app.  It seems more concerned about giving me a personalised logo and in making oddly sized bubbles float around, than in acting as a bank.  I thought this antiquated design died out a decade ago!       EDIT - At least Atom Bank (developers) are responsive, that sets them and Monzo far above the ""big players"" like Barclays and Lloyds where any issues mean you are SOL.  Thanks for that!",-0.07,'app functionality : ui',13/09/2016,Google Play,,3,"I don't understand why but it seems like UX and performance went out of the window with this app.  It seems more concerned about giving me a personalised logo and in making oddly sized bubbles float around, than in acting as a bank.  I thought this antiquated design died out a decade ago!       EDIT - At least Atom Bank (developers) are responsive, that sets them and Monzo far above the ""big players"" like Barclays and Lloyds where any issues mean you are SOL.  Thanks for that!",,1,,,-0.07
"App not backward compatible, so had to invest in newer phone first. Having 
done so, acct set up was easy. Done & active within 15 mins",0.2,"'account admin : opening an account' , 'app functionality : app set up' , 'app functionality : easy to set up'",08/05/2018,Google Play,2.1,4,"App not backward compatible, so had to invest in newer phone first. Having 
done so, acct set up was easy. Done & active within 15 mins",,3,,,0.2
"Bizarre UI: Quite pretty.  Seems to deliberately avoid doing things the same way as other apps, so there is a learning curve.  Mad choice to make it hard to exit.",-0.07,"'app functionality : ui' , 'app design : options' , 'app functionality : difficult to use'",18/04/2017,Google Play,1.6.1,3,"Bizarre UI: Quite pretty.  Seems to deliberately avoid doing things the same way as other apps, so there is a learning curve.  Mad choice to make it hard to exit.",,1,,,-0.07
Easy to open account. No problems encountered,0.57,"'account admin : opening an account' , 'app functionality : easy to set up'",04/07/2018,Google Play,2.2.4,5,Easy to open account. No problems encountered,,0,,,0.57
Simply to say that it all works fine for me so far.,0,'works well : works fine',26/02/2017,Google Play,1.5,4,Simply to say that it all works fine for me so far.,,0,,,0
I am so impressed with it. Great security so easy to use,0.72,"'app functionality : easy to use' , 'app functionality : easy and secure' , 'banking services : good for security'",30/06/2018,Google Play,2.2.4,5,I am so impressed with it. Great security so easy to use,,0,,,0.72
I have tried several times to sign up but it never worked pretty bad,-0.23,'other',08/03/2017,Google Play,1.5.2,1,I have tried several times to sign up but it never worked pretty bad,,0,,,-0.23
"cannot access my account app claims there is no connection, common problem apparently but nothing on website about it. it's a joke , never been unable to access my own money before!",-0.74,'app issues : problems accessing account',10/03/2019,Google Play,2.6.1,1,"cannot access my account app claims there is no connection, common problem apparently but nothing on website about it. it's a joke , never been unable to access my own money before!",,1,,,-0.74
"I have just tried to save some money with them. Halfway through the process, the whole thing seized up and I had to a restart, this has happened twice. I did have an online chat with one of their personnel who informed me that my Android Pixel is not covered by them. Do I have to buy a new mobile? ;-)",-0.2,'customer support : chat facility',25/02/2017,Google Play,1.5,2,"I have just tried to save some money with them. Halfway through the process, the whole thing seized up and I had to a restart, this has happened twice. I did have an online chat with one of their personnel who informed me that my Android Pixel is not covered by them. Do I have to buy a new mobile? ;-)",,1,,,-0.2
"Address finder populates all the wrong fields. Road gets put in house name. 
Then you fail a credit check. Cheers for that!!! Atom reply says it's an 
identity check but the error message mentions credit checking agencies.",-0.09,'other',21/06/2018,Google Play,2.2.4,1,"Address finder populates all the wrong fields. Road gets put in house name. 
Then you fail a credit check. Cheers for that!!! Atom reply says it's an 
identity check but the error message mentions credit checking agencies.",,1,,,-0.09
So far so good and seems very easy to use .,0.93,'app functionality : easy to use',15/04/2019,Google Play,2.6.1,5,So far so good and seems very easy to use .,,1,,,0.93
This app looks very fresh in its design and is working very well on my phone. The face photography on my tablet is very difficult due to the offset of the camera image from the oval appature.,0,'app functionality : difficult to use',03/09/2017,Google Play,1.8,5,This app looks very fresh in its design and is working very well on my phone. The face photography on my tablet is very difficult due to the offset of the camera image from the oval appature.,,2,,,0
"Poor App! Tried viewing the documents but clicked to view in word by accident, which opened the docs but encrypted, at which point I got stuck in a loop! Couldn't change to anything else, I shut the app down in the hope I can reselect, but it automatically keeps opening in word! Uninstalled the app to see if this would clear any preferences, now I can't log in at all! I just keep getting 'some details are wrong' message when trying to sign in via my phone again. It doesn't tell me which details are wrong, but email and passcode are correct as I've logged in on my iPad successfully. Not all the docs that should be available, are!",-0.41,"'app quality : poor app' , 'authentication : logging in' , 'install : uninstalled the app'",14/07/2017,Google Play,1.7.2,2,"Poor App! Tried viewing the documents but clicked to view in word by accident, which opened the docs but encrypted, at which point I got stuck in a loop! Couldn't change to anything else, I shut the app down in the hope I can reselect, but it automatically keeps opening in word! Uninstalled the app to see if this would clear any preferences, now I can't log in at all! I just keep getting 'some details are wrong' message when trying to sign in via my phone again. It doesn't tell me which details are wrong, but email and passcode are correct as I've logged in on my iPad successfully. Not all the docs that should be available, are!",,1,,,-0.41
